,sentence_id,words,labels
2239,494,FC,I-ORG
12666,3155,Chuta,B-LOC
6397,1409,790,O
11065,2437,Griguryu,B-PER
16020,4957,Ford,I-PER
9519,2099,Kuntur,B-LOC
5154,1130,),I-LOC
565,134,',O
16816,5212,Beneckendorff,I-PER
8422,1858,Georg,B-PER
13208,3403,Wayllay,I-LOC
10979,2416,',O
11399,2586,Imasa,B-LOC
7965,1755,',O
5177,1134,Tupaqsi,I-PER
16156,5007,Kant,I-PER
3411,759,.,O
4323,956,Anqash,B-LOC
2088,459,Li,B-PER
12698,3169,distritu,I-LOC
1789,392,Minh,I-LOC
13122,3355,distritu,I-LOC
16019,4957,Francis,B-PER
3881,863,Linus,B-PER
5585,1231,),I-LOC
15062,4589,Alvaradop,I-PER
6961,1536,Yachay,I-ORG
10493,2316,.,O
1965,429,Tamayo,I-LOC
9303,2051,Vultur,O
9935,2188,',O
15857,4906,III,I-PER
10942,2409,pusapuna,O
3479,777,chay,O
11859,2784,distritu,I-LOC
17003,5276,Molina,I-PER
7135,1575,Hayt'ay,I-ORG
3044,677,',O
9221,2035,.,O
10403,2295,1998,I-ORG
9840,2166,mama,I-ORG
16838,5220,Murillo,I-PER
2626,583,mama,I-ORG
5715,1262,.,O
13994,3944,distritu,I-LOC
11952,2827,distritu,I-LOC
9625,2121,Sunturnin,I-ORG
1092,248,PUSAPUNA,O
16214,5026,Javier,B-PER
14630,4348,Kampanilla,B-LOC
2608,579,Yuraq,B-LOC
8062,1777,",",O
9578,2111,Yunkay,B-LOC
15183,4648,Velásquez,I-PER
7399,1635,.,O
14468,4238,P'isaq,B-LOC
10421,2299,Umalliqmi,O
12753,3195,Kachin,I-LOC
8350,1843,Alfaro,I-PER
2048,449,Taro,B-PER
8867,1952,nirku,O
15753,4867,Grez,I-PER
7220,1596,',O
17087,5302,Mifune,I-PER
7109,1567,Pampa,I-LOC
1246,283,Franz,B-PER
9376,2071,',O
108,25,willkachasqa,I-ORG
11471,2617,distritu,I-LOC
1499,336,Wankawillka,I-LOC
3177,705,parki,I-ORG
3868,863,Haber,I-PER
4607,1015,(,O
8729,1921,murinus,O
7101,1565,),O
3315,737,Ariqipa,B-LOC
14128,4030,Urarinas,B-LOC
6162,1360,Takupaya,B-LOC
13841,3844,Leonardo,I-LOC
2676,593,1998,I-ORG
11313,2556,Puente,B-LOC
7211,1593,),I-ORG
16931,5250,Pires,I-PER
16324,5060,María,I-PER
445,106,qillqakunapas,O
11708,2719,Amashca,B-LOC
13082,3337,Saylla,B-LOC
17545,5454,Banladish,B-LOC
12106,2901,distritu,I-LOC
4723,1037,.,O
874,200,Ronaldo,B-PER
9316,2053,Kaqkunata,I-ORG
11479,2621,Sinipa,B-LOC
7816,1722,Qullqa,B-LOC
7905,1742,Piluta,B-ORG
13128,3358,Paqariqtampu,B-LOC
2903,648,willkachasqa,I-LOC
7184,1587,mama,I-LOC
5759,1272,Yunga,O
16289,5051,Orozco,I-PER
2743,610,de,I-PER
8359,1846,30px]],O
3692,823,1883-1966,O
4350,962,Augusto,B-PER
5181,1135,Chata,I-LOC
13076,3334,distritu,I-LOC
13383,3538,Qichwachaw,I-LOC
6632,1463,(,O
5593,1233,Lewis,I-PER
13535,3625,Sunin,B-LOC
1420,319,',O
5973,1316,Santa,B-LOC
11090,2443,kantun,I-LOC
6923,1527,pusapuna,O
8800,1937,Kunti,I-LOC
8281,1830,Mushupa,O
13314,3489,pruwinsya,I-LOC
16962,5263,Rosario,B-PER
6764,1492,mama,I-ORG
6478,1427,',O
6199,1369,mama,I-ORG
4087,908,',O
1183,270,Tukuy,B-ORG
2952,658,mayu,I-LOC
13161,3374,distritu,I-LOC
16195,5020,Jaime,B-PER
17534,5444,Ecuadormantami,B-LOC
3596,803,Podocarpus,B-ORG
6550,1442,(,I-LOC
2781,620,.,O
13636,3695,Lluqllapampa,B-LOC
17423,5395,amachana,I-LOC
16678,5166,Maya,B-PER
1604,356,Kunti,I-LOC
15691,4841,Claudia,B-PER
3316,737,pruwinsya,I-LOC
14776,4430,distritu,I-LOC
2895,647,Delphin,B-LOC
4604,1014,Enzo,B-PER
5485,1205,Michoacán,B-LOC
9240,2039,Tawriqaray,B-LOC
11737,2730,Aqu,B-LOC
15244,4672,Debayle,I-PER
6708,1478,.,O
13968,3928,27,B-LOC
14664,4368,distritu,I-LOC
10363,2287,Pisaru,I-PER
5584,1231,Tarija,I-LOC
12746,3192,Chimpan,B-LOC
8397,1854,aranway,I-ORG
16478,5106,Diogo,I-PER
2431,537,1998,I-ORG
4159,922,),O
12700,3170,distritu,I-LOC
14733,4408,Albarracãn,I-LOC
12800,3216,Ramada,I-LOC
4810,1058,Chimpurasu,I-LOC
15762,4870,de,I-PER
14335,4159,Matansa,B-LOC
13788,3808,Urpay,B-LOC
15065,4590,Ulloa,I-PER
10573,2331,khuchi,I-LOC
16207,5023,Joyce,I-PER
8803,1937,Antikuna,B-LOC
14038,3966,Santa,B-LOC
5646,1248,X,I-PER
3793,848,',O
112,26,(,O
4288,949,(,I-LOC
4654,1022,pruwinsya,I-LOC
10511,2318,),O
17119,5313,I,I-PER
2471,546,),O
15332,4709,Julio,I-PER
16481,5107,Cubilla,I-PER
10438,2304,(,O
10914,2402,',O
15102,4604,Christopher,B-PER
4357,963,.,O
9280,2047,Carlos,B-PER
1651,366,',O
10193,2249,distritu,I-LOC
17364,5383,Chinchay,B-LOC
1818,398,.,O
1257,286,Piluta,B-ORG
13526,3621,Tupaq,B-LOC
9436,2083,Arapa,B-LOC
10374,2289,(,O
9812,2160,Uchuy,B-LOC
9127,2014,',O
3466,774,amachasqa,I-ORG
292,71,Pachantin,I-ORG
8182,1807,),O
13174,3381,Waru,B-LOC
8759,1927,.,O
9031,1992,Hayt'ay,I-ORG
3715,829,marka,I-LOC
13194,3391,Waytara,B-LOC
4984,1093,Simón,B-PER
6866,1515,),O
1793,393,',O
17525,5436,Qusqu,I-LOC
5392,1185,Piluta,B-ORG
11484,2623,distritu,I-LOC
13649,3706,Paqcha,B-LOC
12565,3105,distritu,I-LOC
903,206,Kutupaksi,B-ORG
3236,719,panakan,O
17050,5290,Rodríguez,I-PER
8940,1971,Hulyu,B-PER
7146,1577,pruwinsya,I-LOC
16585,5140,de,I-PER
11259,2533,distritu,I-LOC
14134,4033,Pablo,I-LOC
10337,2281,Hayt'ay,I-ORG
8345,1842,',O
14857,4472,Carlosmi,B-PER
17286,5366,Pampa,I-LOC
11070,2439,Piluta,B-ORG
14499,4263,Kupi,B-LOC
4275,946,'Trinidad,O
11935,2819,Chimputi,I-LOC
10071,2220,cyanoptera,O
11485,2624,Qullqamar,B-LOC
10625,2342,(,O
14948,4550,Antuka,I-PER
16895,5239,Rafael,B-PER
7528,1658,-,O
7578,1668,Mayu,B-LOC
14697,4387,Wimpayuq,B-LOC
2333,515,Torres,B-ORG
3766,841,19,O
5959,1315,",",O
10705,2359,PUSAPUNA,O
6348,1398,PUSAPUNA,O
11429,2600,Balsas,B-LOC
15130,4617,Valdivia,B-PER
724,165,simikunallapim,O
5367,1183,.,O
2291,504,),O
15544,4780,Charles,B-PER
5674,1254,Salinas,B-LOC
762,173,.,O
9976,2198,*Suqsu,O
13178,3382,distritu,I-LOC
6476,1427,dolichophylla,O
15159,4634,Bill,B-PER
12829,3224,distritu,I-LOC
10479,2312,Sívori,I-PER
15815,4889,Eduardo,B-PER
6762,1492,Rapa,B-ORG
2965,660,parki,I-ORG
2668,591,São,B-LOC
8352,1844,Meazza,I-PER
14546,4304,San,B-LOC
13861,3857,Riqi,B-LOC
1458,327,',O
10891,2399,simi,I-ORG
12892,3249,distritu,I-LOC
6455,1423,Georges,B-PER
17443,5400,suyu,I-LOC
13300,3480,Sallqapampa,B-LOC
1211,276,k'usillu,I-LOC
9300,2051,Kuntur,B-LOC
11558,2654,Tutura,B-LOC
17533,5443,Perumantachu,B-LOC
9075,2001,Kutupaksi,B-ORG
7662,1688,Alfredo,B-PER
9915,2184,suyu,I-LOC
13257,3444,Muya,B-LOC
16915,5245,Ricardo,B-PER
16251,5039,Winston,I-PER
8606,1895,Σωκράτης,O
3563,794,Tantanakuy,I-ORG
1629,361,Piruw,B-ORG
8633,1900,parki,I-ORG
2252,497,Krameria,O
3998,888,Tirul,I-LOC
16939,5254,Roberto,B-PER
5838,1288,Pachantin,I-ORG
5696,1258,',O
14370,4180,de,I-LOC
11704,2717,Wayllakayan,B-LOC
4812,1059,Hanan,B-ORG
4447,981,.,O
9728,2144,.,O
14387,4190,Miguel,B-LOC
11233,2522,distritu,I-LOC
8107,1787,Ecuador,O
10958,2413,José,B-PER
15942,4936,Cantinflas,B-PER
15941,4935,Reyes,I-PER
16346,5066,José,B-PER
6001,1322,',O
12463,3059,Suqus,B-LOC
12703,3172,Chumuch,B-LOC
3371,749,Punta,I-LOC
10487,2314,",",O
2441,540,Gutiérrez,I-PER
7254,1603,Hayt'ay,I-ORG
2682,595,Amirika,B-ORG
1442,324,pruwinsya,I-LOC
15741,4863,David,B-PER
14975,4569,munayninpi,I-ORG
3061,680,',O
9690,2136,Simón,B-PER
2313,509,Fukuda,I-PER
3742,836,Laja,B-ORG
17250,5357,mama,I-LOC
1572,350,Hayt'ay,I-ORG
17318,5372,risirwa,I-LOC
4728,1038,",",O
17256,5358,mamallaqta,I-LOC
3286,731,',O
6812,1504,Hayt'ay,I-ORG
15000,4577,Sunturnin,I-ORG
5962,1315,maqanakurqan,O
10477,2312,PUSAPUNA,O
4741,1040,Vultur,O
2729,607,Piluta,B-ORG
7627,1678,),I-LOC
4514,994,'Vultur,O
4870,1072,.,O
8304,1833,Kupa,I-ORG
6385,1405,(,O
2032,446,',O
9498,2094,la,O
2316,510,Podocarpus,B-ORG
6907,1524,kaq,O
14773,4429,Zorritos,B-LOC
10604,2338,llaqtam,O
17043,5289,Sebastián,I-PER
13094,3342,distritu,I-LOC
12990,3293,Pumaqanchi,B-LOC
16460,5099,Argüello,I-PER
13396,3547,distritu,I-LOC
16003,4953,Teódulo,I-PER
17058,5292,Arellano,I-PER
11346,2567,de,I-LOC
69,17,REDIRECCIÓN,O
14126,4028,Tiqri,B-LOC
16024,4958,Lampard,I-PER
13064,3328,distritu,I-LOC
9336,2059,Kupa,I-ORG
8901,1960,jacobita,O
14752,4418,Istiki,B-LOC
2533,561,.,O
11355,2570,Santa,B-LOC
10066,2219,Piluta,B-ORG
4020,893,),O
3424,762,Intillama,B-LOC
8818,1940,',O
14997,4577,Markus,I-ORG
12002,2853,distritu,I-LOC
13835,3840,pruwinsya,I-LOC
12259,2965,Piérola,I-LOC
14043,3969,Walmay,B-LOC
15925,4931,Fernando,B-PER
6600,1455,Pachantin,I-ORG
970,220,Kupa,I-ORG
14946,4549,Posadaqa,I-PER
8241,1822,Hayt'ay,I-ORG
5273,1159,Aux,O
14355,4169,Payta,B-LOC
15981,4947,Hernández,I-PER
940,214,Pachantin,I-ORG
16786,5203,Amaringo,I-PER
4932,1082,Santa,B-LOC
3340,742,suyu,I-LOC
15526,4774,César,B-PER
1244,283,.,O
11359,2570,distritu,I-LOC
10266,2265,Piluta,B-ORG
3559,794,pusapuna,O
6102,1346,.,O
3624,809,",",O
1832,400,',O
10292,2270,),I-LOC
8751,1926,Santo,B-PER
16653,5159,Robinson,I-PER
5509,1211,Qhichwa,B-ORG
13749,3775,Chipin,B-LOC
1685,373,amachasqa,I-ORG
17341,5378,Allpawayu,B-LOC
16076,4977,Giovanni,B-PER
9029,1991,),O
2261,499,Manqu,B-PER
11343,2566,distritu,I-LOC
5398,1186,mama,I-ORG
9143,2018,Ronaldo,I-PER
3238,719,.,O
11545,2648,distritu,I-LOC
4673,1026,-,O
6106,1346,',O
12577,3111,distritu,I-LOC
6593,1454,Pichincha,B-LOC
12548,3098,distritu,I-LOC
11300,2551,Lurín,B-LOC
11903,2805,Ichik,B-LOC
3569,796,parki,I-LOC
17063,5294,Edison,I-PER
1024,232,qhichwa,I-ORG
3679,821,.,O
3408,758,Krus,I-ORG
9666,2131,tiyaq,O
12925,3263,San,B-LOC
128,30,Ollanta,B-PER
12837,3228,Jaén,B-LOC
6566,1445,parki,I-LOC
1525,339,",",O
13737,3766,distritu,I-LOC
5943,1312,",",O
5010,1099,',O
13870,3862,Mesones,I-LOC
14271,4118,Rica,I-LOC
14341,4162,Bigote,I-LOC
143,33,.,O
17509,5429,Pampamarka,B-LOC
16178,5013,Albéniz,I-PER
10507,2318,'Tayassu,O
1365,308,-,O
1162,264,Yachay,I-ORG
8133,1795,Tupaq,B-PER
16570,5135,de,I-PER
15578,4793,Christopher,B-PER
5549,1222,',O
12527,3088,distritu,I-LOC
15996,4951,Laso,I-PER
992,225,(,I-LOC
5318,1169,parki,I-ORG
8226,1818,Sallqapi,I-ORG
14593,4328,Sisamanta,I-LOC
8694,1912,del,I-ORG
17083,5301,de,I-PER
4517,995,Miguel,I-LOC
14638,4354,Habana,B-LOC
6705,1478,la,I-PER
10012,2205,chuntu,I-ORG
12686,3163,distritu,I-LOC
16614,5146,Paz,I-PER
1555,346,Kupa,I-ORG
7774,1713,kamayuqnin,I-PER
8265,1827,llaqta,I-LOC
28,7,(,O
2238,494,Chelsea,B-ORG
14464,4234,Ullachiya,B-LOC
2749,612,PUSAPUNA,O
8233,1819,Trombone,O
663,154,=,O
11941,2822,Samanco,B-LOC
13916,3896,Lachaki,B-LOC
76,18,Quijos,B-LOC
446,106,===,O
3969,882,mama,I-ORG
13842,3844,Ortiz,I-LOC
8097,1786,Antamarka,B-LOC
36,8,.,O
17262,5360,mamallaqta,I-LOC
14006,3948,distritu,I-LOC
16636,5153,Tagle,I-PER
11536,2644,Chirimutu,B-LOC
17438,5399,Chankaybaños,B-LOC
17459,5405,Sierra,B-LOC
7181,1586,',O
17450,5402,risirwa,I-LOC
8739,1923,Montes,I-ORG
16815,5212,von,I-PER
16741,5188,Nicolás,B-PER
7388,1632,de,I-ORG
2525,560,Asway,B-LOC
1343,303,Yalap,I-LOC
12402,3033,Tumipampa,B-LOC
1899,416,Manqu,B-PER
9678,2134,16,O
16635,5153,Torre,I-PER
12525,3087,distritu,I-LOC
7663,1688,Stéfano,I-PER
3837,856,Hayt'ay,I-ORG
7370,1629,Ronald,I-PER
9762,2149,',O
2944,657,Bolívar,B-LOC
538,127,Hua,B-PER
14070,3996,Umas,B-LOC
15975,4945,Corbacho,I-PER
13453,3580,pruwinsya,I-LOC
4995,1095,T'uru,B-ORG
11055,2433,',O
12010,2857,distritu,I-LOC
16168,5011,Ignacio,B-PER
16621,5149,Maria,B-PER
11141,2459,Ikwadur,B-LOC
9068,2000,Lima,B-LOC
14915,4529,Alfredoga,B-PER
17185,5339,Yvonne,B-PER
16986,5270,Richardson,I-PER
7100,1565,Alpamayo,O
15779,4875,Rousseff,I-PER
16072,4975,Nunes,I-PER
214,52,III,I-PER
12252,2963,Uraski,B-LOC
149,35,kiti,I-LOC
584,137,),O
6446,1421,Nasa,I-LOC
7365,1627,de,I-ORG
17404,5392,Pukyu,B-LOC
13485,3599,de,I-LOC
11759,2740,Hatun,B-LOC
3753,838,Juneau,B-LOC
7223,1596,spinosissima,O
6113,1348,Hayt'ay,I-ORG
12621,3132,distritu,I-LOC
16587,5140,Ángeles,I-PER
13761,3786,Cuesta,I-LOC
2225,491,Wasin,I-ORG
10181,2247,María,B-PER
1306,295,.,O
8149,1799,khuchi,I-LOC
6835,1509,Isiboro,B-ORG
12520,3085,Carranza,I-LOC
13142,3365,Yawrisqi,B-LOC
6727,1483,mama,I-ORG
4360,964,",",I-LOC
5289,1163,ñawra,I-ORG
4120,914,Muhamadsi,B-PER
10092,2225,parki,I-ORG
15023,4582,Ingenieria,B-ORG
5346,1177,Michael,B-PER
1510,339,Rameau,I-PER
8664,1905,.,O
11295,2549,Surku,B-LOC
9176,2025,6.044,O
8159,1801,(,I-LOC
2425,536,Manuel,B-PER
2969,661,Kupa,I-ORG
16869,5229,Rufino,I-PER
987,224,.,O
13509,3610,Llipata,B-LOC
784,178,Pardo,I-PER
6905,1523,.,O
3738,835,PUSAPUNA,O
9413,2079,1732-1809,O
1840,401,),O
3838,856,Kupa,I-ORG
6386,1405,'Culpina,O
1055,240,',O
16532,5124,Dos,I-PER
6980,1540,.,O
17444,5401,Waywash,B-LOC
2060,452,PUSAPUNA,O
7596,1672,suyu,I-LOC
2714,604,Kupa,I-ORG
17537,5447,Estados,B-LOC
12635,3139,distritu,I-LOC
10277,2267,Remigio,B-PER
2067,454,',O
7832,1724,.,O
2204,487,Llaqtap,I-ORG
14507,4271,Tilali,B-LOC
12915,3258,distritu,I-LOC
2721,605,Tagle,I-PER
7203,1592,Hayt'ay,I-ORG
13992,3944,Damian,I-LOC
4134,917,Tecnológica,I-ORG
17051,5290,de,I-PER
5218,1145,',O
17281,5365,Chakamarka,B-LOC
1814,398,icha,O
13248,3437,Aquyra,B-LOC
5032,1102,Hayt'ay,I-ORG
12701,3171,Celendín,B-LOC
651,151,colaboración,O
1646,365,Domingo,B-PER
3538,789,San,I-ORG
12627,3135,distritu,I-LOC
11998,2851,distritu,I-LOC
15214,4661,Clodoaldo,B-PER
1524,339,Vivaldi,I-PER
13042,3318,Yanawqa,B-LOC
2142,473,Mar,I-LOC
10180,2246,',O
4393,971,Qhichwa,B-ORG
11960,2831,distritu,I-LOC
6504,1433,Tukuy,B-ORG
3174,705,Podocarpus,B-ORG
7316,1617,2014,I-ORG
4367,966,Willkapampa,B-LOC
10698,2357,1986,I-ORG
3622,808,',O
17221,5350,Manu,B-LOC
5124,1121,.,O
9478,2092,",",O
5528,1217,Rikch'arimuy,I-ORG
13939,3913,San,B-LOC
11307,2553,distritu,I-LOC
6890,1521,Qun,B-PER
4468,986,",",O
5297,1165,',O
13723,3758,pruwinsya,I-LOC
5836,1287,',O
2614,580,'Tayassu,O
9778,2152,Caesar,I-PER
2680,594,',O
1285,292,Laram,B-ORG
4193,927,Pakistan,B-LOC
10639,2344,',O
8587,1890,Watimala,B-LOC
7723,1701,1986,I-ORG
14018,3951,Olleros,I-LOC
2041,447,.,O
14930,4541,Pedro,B-PER
14678,4376,Leveau,I-LOC
11971,2838,Shupluy,B-LOC
12080,2889,distritu,I-LOC
3234,719,Panaka,O
16058,4971,George,B-PER
2542,564,",",O
11644,2689,Pallasqa,B-LOC
15296,4693,Esquivel,I-PER
11850,2780,Lukma,B-LOC
16577,5138,Josefa,B-PER
15668,4832,Leonidas,B-PER
6369,1402,.,O
8520,1877,PUSAPUNA,O
10090,2225,Iya,I-ORG
3338,741,.,O
10910,2401,parki,I-ORG
17461,5405,Divisor,I-LOC
12936,3267,Bernardino,I-LOC
4964,1088,Hayt'ay,I-ORG
6714,1480,de,I-PER
14318,4150,Frontera,I-LOC
15258,4679,Daniel,B-PER
16646,5156,Adán,I-PER
13634,3693,Hulkan,B-LOC
8666,1906,PUSAPUNA,O
963,219,Wilson,B-PER
12286,2977,distritu,I-LOC
3933,874,pruwinsya,I-LOC
14938,4544,Humala,I-PER
13923,3902,Ch'illka,B-LOC
13914,3894,Araway,B-LOC
6401,1410,19,O
2957,659,Oh,B-PER
16194,5019,Denner,I-PER
9005,1986,Rivaldo,B-PER
2757,614,Hermann,B-PER
11243,2526,Urqu,I-LOC
16752,5193,Nolberto,B-PER
15293,4692,Mateos,I-PER
11814,2764,distritu,I-LOC
13120,3355,Villa,B-LOC
12926,3263,Gregorio,I-LOC
14829,4458,Neshuya,B-LOC
9071,2000,pruwinsya,I-LOC
13144,3366,Challapampa,B-LOC
3221,716,.,O
5150,1129,Hayt'ay,I-ORG
3511,783,Grieg,B-PER
4286,949,K'upuraki,B-LOC
3422,761,pruwinsya,I-LOC
6288,1385,Víctor,B-PER
7495,1653,-,O
736,168,Hatun,I-ORG
4352,962,.,O
7981,1758,'Quinteto,O
13733,3765,Hatun,B-LOC
6993,1543,1986,I-ORG
14268,4116,Pususu,B-LOC
2155,476,Kunti,I-LOC
3020,672,(,O
1810,398,',O
2985,665,pruwinsya,I-LOC
4645,1021,443,O
1353,305,.,O
3243,720,llaqta,I-ORG
495,117,Cannavaro,I-PER
10867,2393,von,I-PER
473,113,pruwinsya,I-LOC
10609,2339,),I-LOC
9079,2002,chilensis,O
6465,1425,Manchester,B-LOC
2536,563,Johnny,B-PER
15114,4611,tioy,B-PER
11674,2703,distritu,I-LOC
10364,2287,(,O
12566,3106,Waykawachu,B-LOC
5789,1277,),O
7858,1731,Ruqyay,B-ORG
8574,1887,Yachay,I-ORG
15174,4646,Magaly,B-PER
2134,471,kalistu,I-LOC
13633,3692,distritu,I-LOC
16217,5026,Cuéllar,I-PER
10855,2391,.,O
14896,4511,Leandro,B-PER
10858,2391,',O
4093,909,Mamallaqtapura,B-ORG
10208,2251,Antonio,I-ORG
10607,2339,(,I-LOC
10834,2385,.,O
12451,3054,Nazareno,I-LOC
14904,4519,Rosapa,B-PER
12072,2885,distritu,I-LOC
16375,5073,Juan,B-PER
1423,320,FC,I-ORG
10782,2375,Piluta,B-ORG
2208,488,Overath,I-PER
2190,484,mawk'a,I-LOC
10646,2346,José,B-PER
2594,575,Pachantin,I-ORG
14925,4538,Luchuchapas,B-PER
4529,997,willkachasqa,I-ORG
9845,2167,Arenas,I-PER
1374,310,Linné,I-PER
5574,1229,.,O
1103,251,pusapuna,O
12415,3039,pruwinsya,I-LOC
6228,1374,Wolfgang,B-PER
450,108,T'uru,B-ORG
9835,2164,killapi,I-LOC
9963,2194,dolce,O
37,9,San,B-LOC
3552,791,Tello,I-PER
6103,1346,',O
11477,2620,mayu,I-LOC
11466,2615,Shallka,B-LOC
9786,2155,suyu,I-LOC
13928,3907,Mala,B-LOC
10212,2252,Juan,B-PER
5712,1262,sutiyuq,O
9533,2102,Mama,B-ORG
17144,5322,Seger,I-PER
244,59,Yugur,B-ORG
14200,4070,Mayutata,B-LOC
11144,2462,Akobambamantam,B-LOC
8457,1862,',O
10913,2402,occipitalis,O
1450,326,PUSAPUNA,O
2480,548,Qusqu,B-LOC
8185,1808,José,I-PER
4832,1063,',O
2663,590,",",O
7318,1618,Pachantin,I-ORG
6755,1490,Pachantin,I-ORG
16502,5113,Luis,B-PER
13766,3790,Sinsikap,B-LOC
16441,5090,Herrera,I-PER
5131,1124,.,O
3328,738,.,O
8697,1912,parki,I-ORG
17225,5351,Waskaran,B-LOC
12035,2870,Wayana,B-LOC
4620,1016,takiy,I-ORG
1825,399,),O
3683,821,.,O
11217,2514,suyu,I-LOC
7573,1667,llaqta,I-ORG
6452,1422,Orbegoso,I-PER
1927,422,GP,B-LOC
16572,5135,Monteiro,I-PER
9605,2116,Uru,I-LOC
6939,1530,Pachantin,I-ORG
16557,5131,Vincenzo,I-PER
5830,1286,(,O
1884,412,Moyano,I-PER
10998,2421,',O
8941,1971,II,I-PER
12391,3027,distritu,I-LOC
6335,1395,Lavrov,I-PER
2209,488,-,O
15686,4839,Clara,B-PER
16101,4986,Ordaz,I-PER
4162,923,%,O
1754,386,PUSAPUNA,O
14243,4102,Uqshapampa,B-LOC
13878,3868,Jayanca,B-LOC
13814,3827,distritu,I-LOC
11798,2756,distritu,I-LOC
2329,513,Tomás,B-LOC
15574,4791,Valdés,I-PER
15610,4807,Laura,B-PER
7498,1653,culto,O
16454,5096,Bancroft,I-PER
8362,1846,',O
9047,1996,.,O
6202,1370,.,O
15864,4909,Fermi,I-PER
8900,1960,'Oreailurus,O
9831,2164,Isqun,B-LOC
5431,1193,'Phoenicoparrus,O
509,120,',O
13403,3552,Luyantu,B-LOC
17458,5404,suyu,I-LOC
15946,4938,Francesco,B-PER
14435,4214,Asankaru,B-LOC
16446,5092,Kleopatra,B-PER
3457,771,distritu,I-LOC
8462,1864,Garcíap,I-PER
8117,1790,2014,I-ORG
12806,3219,Qiruqutillu,B-LOC
2090,459,.,O
11540,2646,Wampu,B-LOC
7180,1586,Ronaldo,I-PER
17062,5294,Thomas,B-PER
12750,3194,Chuta,B-LOC
4441,980,',O
8505,1874,risirwa,I-LOC
14015,3951,Domingo,I-LOC
3369,749,Hatun,B-LOC
5850,1290,),O
10400,2295,Piluta,B-ORG
13102,3346,distritu,I-LOC
10738,2367,kawsay,I-ORG
6971,1539,Huñu,I-ORG
17167,5333,Maya,B-PER
7577,1668,',O
7799,1718,.,O
13203,3399,Rosario,B-LOC
808,184,Pachantin,I-ORG
1821,398,),O
16602,5143,Gloria,I-PER
3042,677,Ignacio,B-PER
8472,1866,Allpapura,B-LOC
11662,2698,Chinkas,B-LOC
15240,4671,Francisco,B-PER
19,5,.,O
3966,881,willkachasqa,I-ORG
2124,468,Afgansuyu,B-LOC
9768,2150,José,B-PER
12688,3164,distritu,I-LOC
11544,2648,Longar,B-LOC
61,14,),I-LOC
7647,1684,qucha,I-LOC
4902,1076,pyramidalis,O
11083,2441,Sánchez,I-PER
14759,4423,Tikaku,B-LOC
9683,2135,PUSAPUNA,O
10442,2305,'Leopardus,O
16413,5083,Juan,B-PER
16198,5021,Jaime,B-PER
2506,554,Pasqu,B-LOC
9820,2161,suyu,I-LOC
901,205,llaqta,I-ORG
6019,1326,A.,I-PER
16376,5073,de,I-PER
16713,5177,Ríos,I-PER
14123,4025,Pastasa ,B-LOC
10692,2356,didactylus,O
14888,4503,Adrianpa,B-PER
4001,890,'Podiceps,O
8987,1981,Wiraqucha,I-PER
12239,2958,distritu,I-LOC
7648,1684,Titiqaqa,B-LOC
10648,2346,la,I-PER
16306,5056,Gil,I-PER
10909,2401,mamallaqta,I-ORG
9754,2147,',O
3342,742,pruwinsya,I-LOC
1482,332,Montes,I-ORG
17481,5414,qucha,I-LOC
11733,2728,Noel,I-LOC
5389,1184,Coronel,B-LOC
3603,804,parki,I-ORG
11772,2745,distritu,I-LOC
5179,1134,.,O
3462,772,Lorenzo,I-ORG
6244,1377,T'arata,B-LOC
15514,4768,Mesa,I-PER
9423,2081,sallqa,I-ORG
5227,1147,parki,I-ORG
17532,5442,Españapimi,B-LOC
627,145,Pachantin,I-ORG
5304,1166,del,O
4252,941,runakunap,I-ORG
3823,853,',O
3958,879,',O
12117,2907,Hakira,B-LOC
11588,2662,suyu,I-LOC
14409,4202,Qullaw,B-LOC
4176,924,Sichura,B-LOC
12361,3015,Hatun,B-LOC
186,46,.,O
9247,2040,Goethe,I-PER
10056,2215,Linneo,B-PER
9775,2151,Kupa,I-ORG
7459,1646,'Cedrela,O
15235,4669,Juan,B-PER
11677,2705,Antonio,B-LOC
13201,3397,Pumaqucha,B-LOC
16412,5082,Porras,I-PER
12982,3289,Aqumayu,B-LOC
10431,2303,Piluta,B-ORG
15958,4941,y,I-PER
10214,2252,Vargas,I-PER
10470,2310,de,I-PER
12961,3278,distritu,I-LOC
6967,1538,Inka,I-PER
11975,2840,Antapampa,B-LOC
12170,2932,Ariqipa,B-LOC
11125,2449,',O
9767,2149,',O
10971,2415,'Cedrela,O
8141,1797,Piluta,B-ORG
2008,439,amachasqa,I-ORG
9743,2146,.,O
13118,3354,Megantoni,B-LOC
4574,1008,',O
2780,620,',O
164,39,',O
14707,4393,pruwinsya,I-LOC
3600,804,Lawqa,B-ORG
5153,1129,1990,I-ORG
15147,4628,Wiraqucha,B-PER
2943,656,.,O
3438,766,llaqta,I-ORG
9094,2007,Amarumayu,I-ORG
229,55,paqarirqan,O
7930,1748,Qhichwa,B-ORG
8435,1858,",",O
14482,4250,Quqata,B-LOC
12935,3267,San,B-LOC
5954,1314,Pezet,I-PER
334,81,Frailes,I-LOC
6068,1338,Héctor,B-PER
10990,2419,',O
104,24,Pachantin,I-ORG
13498,3604,del,I-LOC
4733,1039,',O
731,167,',O
14842,4462,Punta,I-LOC
14373,4181,Bernal,B-LOC
6829,1507,",",O
4396,971,Suntur,I-ORG
7195,1589,Suwisa,B-LOC
